Source	Target
historiography	history-local
history	history-local
history-local	spain
historiography	history
historiography	spain
history	spain
historiography	history-local
history	history-local
history-local	spain
historiography	history
historiography	spain
history	spain
astronomy	period-classical
astronomy	literature-islamic
0750-1000CE	astronomy
astronomy	literature-arabic
astrology	astronomy
literature-islamic	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
astrology	period-classical
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
astrology	literature-islamic
0750-1000CE	literature-arabic
0750-1000CE	astrology
astrology	literature-arabic
astronomy	period-classical
astronomy	literature-islamic
0750-1000CE	astronomy
astronomy	literature-arabic
astrology	astronomy
literature-islamic	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
astrology	period-classical
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
astrology	literature-islamic
0750-1000CE	literature-arabic
0750-1000CE	astrology
astrology	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
literature-arabic	literature-islamic
0750-1000CE	dogmatics
dogmatics	literature-arabic
0750-1000CE	literature-arabic
literature-islamic	period-classical
dogmatics	period-classical
0750-1000CE	period-classical
literature-arabic	period-classical
dogmatics	literature-islamic
0750-1000CE	literature-islamic
